E1,Academic Vocabulary in Use,Michael McCarthy,Cambridge University Press,2,English,20
E2,Advanced Grammar In Use: With Answers,Martin Hewings,Cambridge University Press,3,English,12
E3,Essential Grammar In Use: With Answers,Raymond Murphy,Cambridge University Press,4,English,35
E4,Grammar and Vocabulary for Advanced,Martin Hewings,Cambridge English,2,English,5
E5,Mother Tongue: The Story of the English Language,Bill Bryson,Penguin,1,English,2
E6,WRITING TO COMMUNICATE,Cynthia Boardman,Pearson,3,English,15
E7,Success Pre-Intermediate Students' Book,Stuart McKinlay,Pearson,8,English,30
E8,New Success Elementary Students' Book,Lindsay White,Pearson Education,2,English,21
E9,Lecture Ready,Peg Sarosy,Oxford,2,English,18
E10,Elements of Success with Essential Online Practice,Anne Ediger,OUP Oxford,3,English,20
